iter	PRAUC	Logloss
0	0.7164169029	0.6896148403
5	0.7195920894	0.6742754979
10	0.7211899011	0.6618434891
15	0.7233754229	0.6514896544
20	0.7239082842	0.6430879117
25	0.7243730239	0.6361955362
30	0.7248275346	0.6305189024
35	0.725496362	0.6257910916
40	0.7265397938	0.6219154583
45	0.7271595092	0.618606308
50	0.7278196421	0.6157620891
55	0.7283531877	0.6134071474
60	0.728815611	0.6113761158
65	0.7294238246	0.6096664859
70	0.7300195316	0.6081266127
75	0.7305545548	0.6067639845
80	0.7309113525	0.6055713344
85	0.7314594372	0.6045073852
90	0.7320196198	0.6035819489
95	0.732523328	0.602745338
100	0.7329846114	0.6019877034
105	0.7333417796	0.6012876873
110	0.7337289199	0.6006942764
115	0.7341273279	0.6001158787
120	0.7345576435	0.5995709012
125	0.7349167555	0.5990673116
130	0.73524734	0.5986190903
135	0.7355416564	0.5981890177
140	0.7358414612	0.597761933
145	0.7360963907	0.5973773428
150	0.7363937636	0.597016582
155	0.7366567629	0.5966937786
160	0.7368870605	0.5963645198
165	0.7370864814	0.5960686812
170	0.7373411901	0.5957666823
175	0.7375309102	0.5954977717
180	0.7377965584	0.5952266109
185	0.7379838914	0.5949660737
190	0.7382434146	0.5947275585
195	0.7385059242	0.594469751
200	0.738740376	0.5942295389
205	0.7389347518	0.5940147424
210	0.739140621	0.5937728334
215	0.7393487162	0.5935390029
220	0.7395910908	0.593324317
225	0.739804299	0.5930850271
230	0.7400163149	0.5928749153
235	0.7401931097	0.5926605245
240	0.7403836476	0.592441449
245	0.7405728211	0.5922270583
250	0.7407444104	0.5920317384
255	0.7409676171	0.5918122202
260	0.7411385264	0.5916226548
265	0.7413476413	0.5914304704
270	0.7415459053	0.5912559182
275	0.7417425763	0.5910600451
280	0.7419234366	0.5908856773
285	0.7421158875	0.5906918699
290	0.7423259708	0.5905021569
295	0.7425152644	0.5903238422
300	0.7427168706	0.5901318422
305	0.7429493403	0.5899334607
310	0.7431418814	0.5897540025
315	0.7433329773	0.5895617442
320	0.7435282269	0.5893840198
325	0.7437206368	0.5892265097
330	0.7439094373	0.5890744958
335	0.7440750548	0.5888871068
340	0.7442412618	0.588718346
345	0.7444337565	0.5885364163
350	0.7446038915	0.5883889397
355	0.7447520217	0.5882263022
360	0.7449207772	0.5880527829
365	0.7451314077	0.5878856452
370	0.7453215032	0.587708142
375	0.7455081681	0.5875346596
380	0.7456668619	0.5873709155
385	0.7458489535	0.5872073927
390	0.7460353083	0.5870385213
395	0.7461768182	0.5868861017
400	0.7462957328	0.5867489536
405	0.7464877328	0.5865816683
410	0.7466640754	0.5864221663
415	0.7468358054	0.5862382078
420	0.746990152	0.5860739104
425	0.7471456572	0.5859199784
430	0.7473582832	0.5857440614
435	0.7475147873	0.5855897974
440	0.7476535908	0.5854392222
445	0.7478087743	0.5852802735
450	0.7479574868	0.5851443796
455	0.7481218832	0.5849833283
460	0.7482698818	0.5848423807
465	0.7484318294	0.5846874528
470	0.7486061999	0.5845120522
475	0.7487739965	0.5843527715
480	0.7489429169	0.5841945975
485	0.7490767017	0.5840328453
490	0.7492176102	0.583898058
495	0.7493671987	0.5837409168
500	0.7495278833	0.5835948788
505	0.7496520451	0.5834538574
510	0.7497951627	0.5833102909
515	0.7499590122	0.5831614494
520	0.7501334613	0.583010616
525	0.7502627928	0.5828674552
530	0.7503965913	0.5827337007
535	0.7505546284	0.5825771128
540	0.7506812266	0.5824308166
545	0.7508150817	0.5822835981
550	0.7509634106	0.5821325434
555	0.7511434945	0.5819633768
560	0.7513085811	0.5818363359
565	0.7514494965	0.5816820719
570	0.7515971363	0.5815210206
575	0.7517523755	0.5813787082
580	0.7519288079	0.5812199809
585	0.7520528305	0.5810816892
590	0.7521873199	0.5809404835
595	0.752330414	0.5808088685
600	0.7525010334	0.5806401077
605	0.7526358117	0.5805121815
610	0.7527694583	0.5803762506
615	0.7529560449	0.5802075267
620	0.7531363513	0.5800461066
625	0.753266322	0.5799181066
630	0.753406068	0.5797782288
635	0.7535735209	0.579626178
640	0.7537064702	0.5794876282
645	0.7538327355	0.5793582634
650	0.7540212561	0.5792102703
655	0.7541752405	0.5790723844
660	0.7543174463	0.5789063164
665	0.7544456267	0.5787720086
670	0.754552131	0.5786357827
675	0.7547331543	0.5784734772
680	0.7548749296	0.5783260743
685	0.755021088	0.5781799256
690	0.7551413676	0.5780431833
695	0.7552863702	0.5778941942
700	0.7554583307	0.5777383441
705	0.7556341259	0.577593302
710	0.7557709101	0.5774549366
