iter	Passed	Remaining
0	23	46844
1	36	36653
2	49	33013
3	63	31525
4	75	30009
5	97	32325
6	110	31564
7	125	31250
8	141	31374
9	155	30868
10	178	32233
11	193	32118
12	208	31825
13	222	31584
14	236	31304
15	265	32942
16	280	32697
17	294	32478
18	308	32126
19	330	32763
20	360	33926
21	374	33704
22	388	33432
23	401	33046
24	415	32810
25	445	33858
26	458	33522
27	472	33294
28	486	33059
29	500	32894
30	530	33667
31	544	33472
32	556	33198
33	570	33017
34	583	32768
35	612	33433
36	629	33398
37	645	33342
38	659	33162
39	673	33008
40	707	33823
41	719	33545
42	734	33422
43	747	33238
44	760	33051
45	790	33566
46	803	33374
47	817	33262
48	836	33295
49	850	33154
50	880	33660
51	895	33542
52	908	33378
53	923	33281
54	937	33150
55	966	33559
56	979	33403
57	992	33230
58	1010	33241
59	1024	33124
60	1054	33510
61	1068	33390
62	1082	33287
63	1096	33162
64	1109	33023
65	1139	33389
66	1154	33296
67	1167	33174
68	1180	33032
69	1193	32906
70	1223	33252
71	1236	33107
72	1250	33013
73	1264	32909
74	1281	32884
75	1322	33480
76	1342	33519
77	1358	33474
78	1372	33374
79	1386	33277
80	1417	33571
81	1430	33458
82	1443	33336
83	1457	33252
84	1471	33149
85	1501	33409
86	1514	33309
87	1528	33214
88	1542	33117
89	1555	33014
90	1585	33257
91	1600	33195
92	1613	33088
93	1628	33013
94	1642	32928
95	1670	33139
96	1683	33030
97	1696	32928
98	1709	32818
99	1723	32755
100	1755	33006
101	1770	32952
102	1784	32869
103	1799	32799
104	1813	32730
105	1843	32941
106	1856	32853
107	1870	32773
108	1885	32708
109	1900	32650
110	1930	32847
111	1944	32775
112	1959	32728
113	1974	32665
114	1988	32589
115	2018	32789
116	2032	32710
117	2048	32669
118	2060	32573
119	2076	32528
120	2106	32712
121	2120	32647
122	2134	32567
123	2148	32508
124	2163	32458
125	2194	32643
126	2209	32579
127	2228	32597
128	2243	32542
129	2256	32459
130	2286	32622
131	2301	32574
132	2316	32521
133	2332	32485
134	2346	32421
135	2378	32597
136	2392	32531
137	2411	32539
138	2426	32483
139	2440	32424
140	2471	32590
141	2487	32549
142	2502	32493
143	2517	32441
144	2532	32399
145	2563	32556
146	2579	32512
147	2593	32449
148	2607	32391
149	2621	32330
150	2652	32476
151	2667	32429
152	2682	32377
153	2697	32336
154	2715	32319
155	2746	32465
156	2760	32408
157	2775	32353
158	2789	32294
159	2803	32243
160	2834	32381
161	2849	32325
162	2863	32266
163	2877	32217
164	2892	32167
165	2923	32304
166	2938	32258
167	2953	32202
168	2968	32157
169	2982	32103
170	3013	32235
171	3027	32173
172	3041	32118
173	3057	32083
174	3072	32039
175	3103	32165
176	3117	32110
177	3133	32069
178	3146	32013
179	3161	31966
180	3191	32077
181	3206	32030
182	3220	31979
183	3235	31931
184	3250	31890
185	3281	32000
186	3295	31954
187	3310	31910
188	3324	31858
189	3340	31824
190	3370	31925
191	3385	31884
192	3400	31840
193	3414	31786
194	3429	31746
195	3460	31849
196	3474	31801
197	3490	31763
198	3507	31739
199	3521	31693
200	3553	31805
201	3568	31762
202	3583	31724
203	3598	31678
204	3612	31633
205	3645	31744
206	3660	31708
207	3675	31668
208	3690	31621
209	3706	31590
210	3736	31682
211	3751	31640
212	3766	31602
213	3781	31561
214	3804	31588
215	3835	31675
216	3849	31632
217	3864	31587
218	3879	31547
219	3893	31502
220	3924	31590
221	3938	31546
222	3953	31506
223	3970	31477
224	3984	31436
225	4014	31511
226	4029	31471
227	4044	31437
228	4060	31398
229	4075	31364
230	4107	31455
231	4122	31419
232	4139	31390
233	4155	31358
234	4169	31314
235	4200	31399
236	4215	31361
237	4231	31328
238	4248	31300
239	4263	31266
240	4294	31345
241	4309	31304
242	4324	31264
243	4339	31230
244	4354	31194
245	4386	31277
246	4403	31249
247	4418	31215
248	4434	31181
249	4449	31146
250	4479	31216
251	4495	31185
252	4511	31152
253	4526	31115
254	4541	31079
255	4573	31156
256	4588	31122
257	4604	31092
258	4620	31056
259	4635	31020
260	4665	31082
261	4679	31041
262	4693	31001
263	4708	30961
264	4724	30931
265	4755	30999
266	4769	30960
267	4784	30923
268	4800	30893
269	4815	30856
270	4847	30925
271	4862	30892
272	4877	30856
273	4892	30820
274	4908	30789
275	4938	30848
276	4954	30817
277	4970	30785
278	4985	30755
279	5001	30724
280	5034	30797
281	5049	30760
282	5063	30723
283	5078	30687
284	5092	30646
285	5123	30704
286	5138	30672
287	5155	30646
288	5174	30633
289	5190	30604
290	5223	30676
291	5239	30649
292	5255	30619
293	5272	30592
294	5286	30555
295	5319	30624
296	5335	30595
297	5352	30567
298	5368	30542
299	5384	30512
300	5417	30579
301	5433	30548
302	5449	30522
303	5465	30492
304	5481	30462
305	5514	30527
306	5530	30496
307	5546	30469
308	5563	30445
309	5577	30406
310	5608	30460
311	5625	30436
312	5642	30413
313	5659	30389
314	5675	30360
315	5708	30419
316	5723	30386
317	5740	30361
318	5755	30331
319	5771	30301
320	5804	30360
321	5820	30330
322	5836	30301
323	5854	30283
324	5870	30257
325	5903	30315
326	5919	30286
327	5936	30262
328	5953	30238
329	5969	30208
330	6005	30283
331	6023	30265
332	6040	30237
333	6056	30209
334	6073	30184
335	6107	30248
336	6124	30221
337	6140	30196
338	6157	30170
339	6174	30144
340	6208	30203
341	6224	30175
342	6240	30148
343	6256	30120
344	6274	30097
345	6308	30156
346	6334	30173
347	6351	30151
348	6368	30125
349	6384	30099
350	6418	30156
351	6435	30129
352	6451	30103
353	6468	30077
354	6486	30058
355	6522	30118
356	6541	30105
357	6558	30081
358	6576	30062
359	6592	30034
360	6630	30103
361	6649	30088
362	6666	30064
363	6684	30045
364	6702	30023
365	6737	30077
366	6754	30052
367	6770	30026
368	6787	30001
369	6804	29977
370	6841	30039
371	6859	30019
372	6877	29998
373	6899	29996
374	6917	29974
375	6953	30032
376	6980	30049
377	6997	30027
378	7015	30004
379	7032	29982
380	7066	30030
381	7094	30050
382	7112	30027
383	7130	30006
384	7146	29978
385	7182	30031
386	7198	30004
387	7217	29984
388	7237	29974
389	7256	29955
390	7293	30014
391	7313	30000
392	7331	29978
393	7348	29955
394	7366	29930
395	7399	29972
396	7416	29944
397	7433	29921
398	7449	29891
399	7472	29889
400	7506	29932
401	7523	29908
402	7540	29881
403	7558	29860
404	7576	29837
405	7623	29929
406	7640	29906
407	7657	29879
408	7675	29859
409	7694	29838
410	7732	29894
411	7748	29864
412	7765	29839
413	7781	29810
414	7798	29785
415	7832	29825
416	7849	29797
417	7866	29771
418	7883	29745
419	7900	29720
420	7935	29761
421	7951	29734
422	7968	29706
423	7984	29678
424	8000	29650
425	8030	29671
426	8047	29645
427	8065	29623
428	8083	29601
429	8099	29574
430	8135	29614
431	8155	29599
432	8171	29570
433	8188	29546
434	8205	29519
435	8236	29545
436	8252	29517
437	8269	29489
438	8288	29472
439	8305	29447
440	8339	29479
441	8355	29452
442	8371	29424
443	8389	29399
444	8406	29376
445	8440	29408
446	8457	29383
447	8474	29359
448	8490	29329
449	8506	29300
450	8539	29330
451	8555	29300
452	8570	29268
453	8585	29234
454	8601	29208
455	8634	29237
456	8652	29212
457	8668	29184
458	8684	29156
459	8702	29134
460	8736	29167
461	8752	29138
462	8768	29109
463	8785	29082
464	8801	29054
465	8834	29082
466	8853	29061
467	8870	29036
468	8886	29010
469	8909	29004
470	8943	29034
471	8963	29018
472	8981	28994
473	8998	28971
474	9015	28944
475	9049	28973
476	9067	28950
477	9084	28927
478	9102	28905
479	9120	28880
480	9154	28909
481	9171	28883
482	9187	28856
483	9205	28833
484	9223	28810
485	9258	28843
486	9277	28822
487	9293	28795
488	9309	28764
489	9325	28736
490	9358	28762
491	9374	28733
492	9389	28702
493	9405	28673
494	9421	28643
495	9452	28661
496	9467	28631
497	9483	28602
498	9499	28574
499	9518	28555
500	9550	28574
501	9565	28544
502	9582	28519
503	9598	28490
504	9614	28462
505	9646	28482
506	9669	28474
507	9685	28447
508	9701	28417
509	9716	28386
510	9746	28400
511	9761	28369
512	9777	28340
513	9792	28309
514	9808	28281
515	9841	28305
516	9855	28271
517	9871	28243
518	9886	28213
519	9902	28182
520	9933	28200
521	9948	28167
522	9963	28138
523	9978	28107
524	9995	28083
525	10028	28101
526	10043	28071
527	10059	28044
528	10076	28019
529	10092	27991
530	10122	28004
531	10139	27977
532	10154	27949
533	10171	27923
534	10185	27891
535	10216	27905
536	10232	27878
537	10247	27847
538	10263	27819
539	10277	27788
540	10309	27801
541	10324	27773
542	10341	27748
543	10357	27720
544	10372	27692
545	10404	27707
546	10419	27676
547	10434	27646
548	10449	27617
549	10465	27591
550	10498	27607
551	10513	27577
552	10528	27549
553	10544	27521
554	10558	27491
555	10589	27501
556	10604	27472
557	10618	27440
558	10634	27414
559	10650	27387
560	10680	27395
561	10694	27363
562	10709	27335
563	10725	27308
564	10742	27283
565	10773	27295
566	10791	27272
567	10806	27244
568	10821	27214
569	10836	27185
570	10867	27196
571	10883	27170
572	10899	27143
573	10915	27118
574	10932	27094
575	10966	27112
576	10984	27089
577	11000	27062
578	11020	27047
579	11038	27024
580	11069	27035
581	11085	27007
582	11101	26981
583	11117	26955
584	11133	26929
585	11163	26937
586	11180	26912
587	11197	26888
588	11213	26864
589	11231	26840
590	11264	26856
591	11282	26835
592	11298	26808
593	11316	26785
594	11335	26767
595	11370	26786
596	11386	26759
597	11402	26732
598	11417	26705
599	11433	26678
600	11468	26696
601	11483	26668
602	11501	26646
603	11517	26620
604	11534	26595
605	11568	26611
606	11585	26587
607	11602	26563
608	11619	26539
609	11643	26531
610	11689	26573
611	11706	26549
612	11722	26524
613	11741	26505
614	11759	26483
615	11795	26502
616	11812	26477
617	11829	26452
618	11846	26429
619	11862	26404
620	11894	26413
621	11909	26385
622	11925	26358
623	11940	26330
624	11955	26303
625	11988	26313
626	12003	26286
627	12019	26259
628	12034	26230
629	12048	26200
630	12079	26206
631	12095	26181
632	12110	26153
633	12126	26127
634	12142	26101
635	12175	26113
636	12192	26087
637	12207	26061
638	12226	26040
639	12241	26013
640	12274	26022
641	12289	25994
642	12304	25968
643	12320	25941
644	12335	25915
645	12366	25920
646	12383	25896
647	12400	25872
648	12416	25847
649	12431	25819
650	12463	25827
651	12479	25801
652	12496	25777
653	12512	25751
654	12528	25726
655	12559	25732
656	12574	25704
657	12592	25683
658	12609	25659
659	12625	25633
660	12659	25643
661	12675	25619
662	12693	25597
663	12709	25572
664	12725	25547
665	12758	25555
666	12776	25533
667	12790	25505
668	12806	25479
669	12822	25453
670	12854	25459
671	12869	25432
672	12885	25407
673	12902	25382
674	12918	25357
675	12950	25363
676	12964	25335
677	12981	25311
678	12996	25285
679	13013	25261
680	13043	25264
681	13063	25246
682	13081	25223
683	13096	25198
684	13113	25174
685	13146	25180
686	13162	25155
687	13177	25128
688	13193	25103
